Source_Node,Destination_Node,Times_Pruned,Average_Attention,Average_Reward
1,33,21,0.20540280143419898,0.3098502304147465
3,9,21,0.2708520591259002,0.31346006144393235
4,14,21,0.38668223222096754,0.3142665130568356
3,33,21,0.43770498037338257,0.3283218125960061
13,1,21,0.3013351957003276,0.2892665130568356
7,39,21,0.10912826657295223,0.295142089093702
39,18,21,0.45469652613004047,0.34074500768049154
32,24,21,0.16501320898532862,0.30733486943164356
16,9,21,0.20639786620934805,0.3081221198156681
16,17,21,0.3594210346539815,0.3381144393241168
19,14,21,0.05048845708370207,0.3390552995391705
23,37,21,0.22246183951695755,0.32672811059907825
26,38,21,0.4524447520573934,0.2921850998463902
27,12,21,0.07111422220865883,0.33168202764976956
39,38,21,0.12604818741480503,0.29406682027649766
39,20,21,0.35402419169743854,0.34399001536098306
32,39,21,0.12556997438271836,0.32453917050691244
38,11,21,0.251831312974294,0.3376344086021505
20,1,20,0.21926725134253502,0.28375
38,15,20,0.2679159760475158,0.2827217741935483
2,36,1,0.3981027603149414,0.3443548387096774
0,9,1,0.1340119689702987,0.2568548387096774
